EID,SP1 is PNE,Potential,SP1,SP1|SP1,Min-Min,Min-Max,Min-Sum,Min-Avg,Min-Abs,Max-Min-Improvement,Max-Avg-Improvement,MAX-Nash-Value,MIN-Nash-Value,MIN-Sum-Surplus,Social Sum,Nash,Nash-Ratio,Nash-Value,Kalai,Kalai-Ratio,Kalai-Value,Egalitarian,Egalitarian-Ratio,Egalitarian-Value,Utilitarian,Utilitarian-Ratio,Utilitarian-Value,PoS,PoA
c35a4275-2509-4529-a2cc-7705aa353ac2,False,"[(21, 26), (25, 25)]",37,33,21,25,21,21,25,21,21,21,25,21,47,"[16.0, 16.0]","[1.0, 0.0]",32.0,"[15.2381, 16.1905]","[0.8095, 0.1905]",31.4286,"[16.0, 16.0]","[1.0, 0.0]",32.0,"[16.0, 16.0]","[1.0, 0.0]",32.0,1.103448275862069,1.0
c35a4275-2509-4529-a2cc-7705aa353ac2,False,"[(26, 21), (25, 25)]",42,38,26,25,26,26,25,26,26,26,25,26,47,"[16.0, 16.0]","[1.0, 0.0]",32.0,"[16.1905, 15.2381]","[0.8095, 0.1905]",31.4286,"[16.0, 16.0]","[1.0, 0.0]",32.0,"[16.0, 16.0]","[1.0, 0.0]",32.0,1.103448275862069,1.0
cd8d9de1-4fbd-4398-ab98-44f300d1c238,False,"[(23, 18), (20, 20)]",34,34,23,20,20,20,20,23,20,20,23,20,40,"[13.7499, 9.1667]","[0.0834, 0.9166]",22.916600000000003,"[12.623, 9.918]","[0.459, 0.541]",22.540999999999997,"[11.0, 11.0]","[1.0, 0.0]",22.0,"[14.0, 9.0]","[0.0, 1.0]",23.0,1.0454545454545454,1.0
cd8d9de1-4fbd-4398-ab98-44f300d1c238,False,"[(18, 23), (20, 20)]",29,29,18,20,20,20,20,18,20,20,18,20,40,"[9.1667, 13.7499]","[0.0834, 0.9166]",22.916600000000003,"[9.918, 12.623]","[0.459, 0.541]",22.540999999999997,"[11.0, 11.0]","[1.0, 0.0]",22.0,"[9.0, 14.0]","[0.0, 1.0]",23.0,1.0454545454545454,1.0
f46c4382-8585-4645-9014-aec114a5ca06,False,"[(26, 31), (30, 30)]",37,37,26,30,26,26,30,26,26,26,30,26,57,"[11.0, 16.0]","[1.0, 0.0]",27.0,"[10.443, 16.1392]","[0.8608, 0.1392]",26.5822,"[11.0, 16.0]","[1.0, 0.0]",27.0,"[11.0, 16.0]","[1.0, 0.0]",27.0,1.125,1.0
f46c4382-8585-4645-9014-aec114a5ca06,False,"[(31, 26), (30, 30)]",47,47,31,30,31,31,30,31,31,31,30,31,57,"[16.0, 11.0]","[1.0, 0.0]",27.0,"[16.1392, 10.443]","[0.8608, 0.1392]",26.5822,"[16.0, 11.0]","[1.0, 0.0]",27.0,"[16.0, 11.0]","[1.0, 0.0]",27.0,1.125,1.0
4683785b-07c8-438a-ab61-b9a0d60bcfca,False,"[(28, 23), (26, 26)]",37,37,28,26,28,28,26,26,28,28,26,28,51,"[9.1667, 13.7499]","[0.9166, 0.0834]",22.916600000000003,"[9.918, 12.623]","[0.541, 0.459]",22.540999999999997,"[11.0, 11.0]","[-0.0, 1.0]",22.0,"[9.0, 14.0]","[1.0, 0.0]",23.0,1.0454545454545454,1.0
4683785b-07c8-438a-ab61-b9a0d60bcfca,False,"[(23, 28), (26, 26)]",37,37,23,26,23,23,26,26,23,23,26,23,51,"[13.7499, 9.1667]","[0.9166, 0.0834]",22.916600000000003,"[12.623, 9.918]","[0.541, 0.459]",22.540999999999997,"[11.0, 11.0]","[-0.0, 1.0]",22.0,"[14.0, 9.0]","[1.0, 0.0]",23.0,1.0454545454545454,1.0
67cf345a-3ba7-48ac-9643-b0e4e0c11dec,False,"[(18, 23), (22, 22)]",34,34,18,22,18,18,22,22,18,18,22,18,41,"[16.0, 11.0]","[1.0, 0.0]",27.0,"[15.0, 11.25]","[0.75, 0.25]",26.25,"[12.0, 12.0]","[-0.0, 1.0]",24.0,"[16.0, 11.0]","[1.0, 0.0]",27.0,1.125,1.0
67cf345a-3ba7-48ac-9643-b0e4e0c11dec,False,"[(23, 18), (22, 22)]",34,34,23,22,23,23,22,22,23,23,22,23,41,"[11.0, 16.0]","[1.0, 0.0]",27.0,"[11.25, 15.0]","[0.75, 0.25]",26.25,"[12.0, 12.0]","[-0.0, 1.0]",24.0,"[11.0, 16.0]","[1.0, 0.0]",27.0,1.125,1.0
af81f770-507f-4b64-9ca2-5fb7ce2ef95d,False,"[(19, 24), (21, 21), (24, 19)]",37,35,19,21,21,21,21,21,21,21,19,21,42,"[16.0, 16.0]","[0.0, 1.0, 0.0]",32.0,"[16.0, 16.0]","[-0.0, 1.0, 0.0]",32.0,"[16.0, 16.0]","[-0.0, 1.0, 0.0]",32.0,"[16.0, 16.0]","[0.0, 1.0, 0.0]",32.0,1.032258064516129,1.0
af81f770-507f-4b64-9ca2-5fb7ce2ef95d,False,"[(24, 19), (21, 21), (19, 24)]",37,35,24,21,21,21,21,21,21,21,24,21,42,"[16.0, 16.0]","[0.0, 1.0, 0.0]",32.0,"[16.0, 16.0]","[0.0, 1.0, -0.0]",32.0,"[16.0, 16.0]","[0.0, 1.0, -0.0]",32.0,"[16.0, 16.0]","[0.0, 1.0, 0.0]",32.0,1.032258064516129,1.0
db909917-7703-49b3-8568-147688b425d9,False,"[(24, 29), (26, 26)]",34,34,24,26,26,26,26,26,26,26,24,26,52,"[8.0, 3.0]","[0.0, 1.0]",11.0,"[8.3333, 2.5]","[0.1667, 0.8333]",10.8333,"[8.0, 3.0]","[-0.0, 1.0]",11.0,"[8.0, 3.0]","[0.0, 1.0]",11.0,1.1,1.0
db909917-7703-49b3-8568-147688b425d9,False,"[(29, 24), (26, 26)]",29,29,29,26,26,26,26,26,26,26,29,26,52,"[3.0, 8.0]","[0.0, 1.0]",11.0,"[2.5, 8.3333]","[0.1667, 0.8333]",10.8333,"[3.0, 8.0]","[-0.0, 1.0]",11.0,"[3.0, 8.0]","[0.0, 1.0]",11.0,1.1,1.0
3a79c8e0-c2fe-4494-8460-17a82db527d5,False,"[(22, 22), (25, 20)]",34,34,25,22,22,22,22,25,22,22,25,22,44,"[11.25, 7.5]","[0.75, 0.25]",18.75,"[10.5882, 7.9412]","[0.5294, 0.4706]",18.529400000000003,"[9.0, 9.0]","[-0.0, 1.0]",18.0,"[12.0, 7.0]","[1.0, 0.0]",19.0,1.0555555555555556,1.0
3a79c8e0-c2fe-4494-8460-17a82db527d5,False,"[(22, 22), (20, 25)]",29,29,20,22,22,22,22,20,22,22,20,22,44,"[7.5, 11.25]","[0.75, 0.25]",18.75,"[7.9412, 10.5882]","[0.5294, 0.4706]",18.529400000000003,"[9.0, 9.0]","[-0.0, 1.0]",18.0,"[7.0, 12.0]","[1.0, 0.0]",19.0,1.0555555555555556,1.0
4c9c4021-aaa0-457c-a351-f143abe6bb18,False,"[(20, 20), (18, 23)]",34,34,18,20,20,20,20,20,20,20,18,20,40,"[14.0, 9.0]","[1.0, 0.0]",23.0,"[14.5455, 8.1818]","[0.7273, 0.2727]",22.7273,"[14.0, 9.0]","[1.0, 0.0]",23.0,"[14.0, 9.0]","[1.0, 0.0]",23.0,1.0454545454545454,1.0
4c9c4021-aaa0-457c-a351-f143abe6bb18,False,"[(20, 20), (23, 18)]",29,29,23,20,20,20,20,20,20,20,23,20,40,"[9.0, 14.0]","[1.0, 0.0]",23.0,"[8.1818, 14.5455]","[0.7273, 0.2727]",22.7273,"[9.0, 14.0]","[1.0, 0.0]",23.0,"[9.0, 14.0]","[1.0, 0.0]",23.0,1.0454545454545454,1.0
9f080082-2118-4d29-948a-557502c2287e,False,"[(25, 25), (26, 21)]",34,34,26,25,26,26,25,25,26,26,25,26,47,"[8.0, 13.0]","[0.0, 1.0]",21.0,"[8.2653, 11.9388]","[0.2653, 0.7347]",20.2041,"[9.0, 9.0]","[1.0, 0.0]",18.0,"[8.0, 13.0]","[0.0, 1.0]",21.0,1.1666666666666667,1.0
9f080082-2118-4d29-948a-557502c2287e,False,"[(25, 25), (21, 26)]",34,34,21,25,21,21,25,25,21,21,25,21,47,"[13.0, 8.0]","[0.0, 1.0]",21.0,"[11.9388, 8.2653]","[0.2653, 0.7347]",20.2041,"[9.0, 9.0]","[1.0, 0.0]",18.0,"[13.0, 8.0]","[0.0, 1.0]",21.0,1.1666666666666667,1.0
dd07918a-2f97-4662-9598-0f49624505e7,False,"[(32, 32), (29, 34)]",37,37,29,32,29,29,32,29,29,29,32,29,63,"[8.0, 13.0]","[0.0, 1.0]",21.0,"[7.2131, 13.5246]","[0.2623, 0.7377]",20.7377,"[8.0, 13.0]","[-0.0, 1.0]",21.0,"[8.0, 13.0]","[0.0, 1.0]",21.0,1.05,1.0
dd07918a-2f97-4662-9598-0f49624505e7,False,"[(32, 32), (34, 29)]",47,47,34,32,34,34,32,34,34,34,32,34,63,"[13.0, 8.0]","[0.0, 1.0]",21.0,"[13.5246, 7.2131]","[0.2623, 0.7377]",20.7377,"[13.0, 8.0]","[-0.0, 1.0]",21.0,"[13.0, 8.0]","[0.0, 1.0]",21.0,1.05,1.0
00c90bc4-e6a4-4b2a-b8d1-e59fef8a05d7,False,"[(22, 27), (27, 22), (26, 26)]",34,34,22,26,22,22,26,26,22,22,26,22,48,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[12.0, 7.0]","[1.0, 0.0, 0.0]",19.0,1.25,1.0526315789473684
00c90bc4-e6a4-4b2a-b8d1-e59fef8a05d7,False,"[(27, 22), (22, 27), (26, 26)]",34,34,27,26,27,27,26,26,27,27,26,27,48,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[9.5, 9.5]","[0.5, 0.5, 0.0]",19.0,"[7.0, 12.0]","[1.0, 0.0, 0.0]",19.0,1.25,1.0526315789473684
1be034bd-db0e-49ea-834f-826e7fd1764d,False,"[(22, 27), (26, 26)]",37,37,22,26,22,22,26,22,22,22,26,22,49,"[15.0, 20.0]","[1.0, 0.0]",35.0,"[14.3939, 20.1515]","[0.8485, 0.1515]",34.5454,"[15.0, 20.0]","[1.0, 0.0]",35.0,"[15.0, 20.0]","[1.0, 0.0]",35.0,1.09375,1.0
1be034bd-db0e-49ea-834f-826e7fd1764d,False,"[(27, 22), (26, 26)]",47,47,27,26,27,27,26,27,27,27,26,27,49,"[20.0, 15.0]","[1.0, 0.0]",35.0,"[20.1515, 14.3939]","[0.8485, 0.1515]",34.5454,"[20.0, 15.0]","[1.0, 0.0]",35.0,"[20.0, 15.0]","[1.0, 0.0]",35.0,1.09375,1.0
50eef679-aecd-470b-ac26-ac0eabf5e02a,False,"[(23, 23), (25, 20)]",37,37,25,23,25,25,23,25,25,25,23,25,45,"[12.0, 9.0]","[0.0, 1.0]",21.0,"[12.6, 8.1]","[0.3, 0.7]",20.7,"[12.0, 9.0]","[-0.0, 1.0]",21.0,"[12.0, 9.0]","[0.0, 1.0]",21.0,1.05,1.0
50eef679-aecd-470b-ac26-ac0eabf5e02a,False,"[(23, 23), (20, 25)]",29,29,20,23,20,20,23,20,20,20,23,20,45,"[9.0, 12.0]","[0.0, 1.0]",21.0,"[8.1, 12.6]","[0.3, 0.7]",20.7,"[9.0, 12.0]","[-0.0, 1.0]",21.0,"[9.0, 12.0]","[0.0, 1.0]",21.0,1.05,1.0
fc7d44a7-c285-4d1a-9320-4b735f7865bd,False,"[(20, 20), (21, 16)]",31,31,21,20,21,21,20,21,21,21,20,21,37,"[10.0, 5.0]","[0.0, 1.0]",15.0,"[10.102, 4.5918]","[0.102, 0.898]",14.6938,"[10.0, 5.0]","[-0.0, 1.0]",15.0,"[10.0, 5.0]","[0.0, 1.0]",15.0,1.25,1.0
fc7d44a7-c285-4d1a-9320-4b735f7865bd,False,"[(20, 20), (16, 21)]",21,21,16,20,16,16,20,16,16,16,20,16,37,"[5.0, 10.0]","[0.0, 1.0]",15.0,"[4.5918, 10.102]","[0.102, 0.898]",14.6938,"[5.0, 10.0]","[-0.0, 1.0]",15.0,"[5.0, 10.0]","[0.0, 1.0]",15.0,1.25,1.0
efede2a0-7b83-4050-a89e-3291a0a90fca,True,"[(29, 29), (32, 27)]",37,37,32,29,29,29,29,29,29,29,32,29,58,"[8.0, 8.0]","[1.0, 0.0]",16.0,"[6.9565, 8.6957]","[0.6522, 0.3478]",15.6522,"[8.0, 8.0]","[1.0, 0.0]",16.0,"[8.0, 8.0]","[1.0, 0.0]",16.0,1.0666666666666667,1.0
efede2a0-7b83-4050-a89e-3291a0a90fca,True,"[(29, 29), (27, 32)]",37,37,27,29,29,29,29,29,29,29,27,29,58,"[8.0, 8.0]","[1.0, 0.0]",16.0,"[8.6957, 6.9565]","[0.6522, 0.3478]",15.6522,"[8.0, 8.0]","[1.0, 0.0]",16.0,"[8.0, 8.0]","[1.0, 0.0]",16.0,1.0666666666666667,1.0
02425eaa-abd5-4fa6-9170-df7b13aeba8b,False,"[(22, 27), (26, 26)]",37,35,22,26,22,22,26,22,22,22,26,22,49,"[15.0, 15.0]","[1.0, 0.0]",30.0,"[14.2405, 15.1899]","[0.8101, 0.1899]",29.4304,"[15.0, 15.0]","[1.0, 0.0]",30.0,"[15.0, 15.0]","[1.0, 0.0]",30.0,1.1111111111111112,1.0
02425eaa-abd5-4fa6-9170-df7b13aeba8b,False,"[(27, 22), (26, 26)]",42,40,27,26,27,27,26,27,27,27,26,27,49,"[15.0, 15.0]","[1.0, 0.0]",30.0,"[15.1899, 14.2405]","[0.8101, 0.1899]",29.4304,"[15.0, 15.0]","[1.0, 0.0]",30.0,"[15.0, 15.0]","[1.0, 0.0]",30.0,1.1111111111111112,1.0
bbec94c4-d474-496f-88d6-179c4df5fbaf,False,"[(32, 32), (28, 33)]",37,37,28,32,28,28,32,28,28,28,32,28,61,"[9.0, 14.0]","[0.0, 1.0]",23.0,"[8.4783, 14.1304]","[0.1304, 0.8696]",22.6087,"[9.0, 14.0]","[-0.0, 1.0]",23.0,"[9.0, 14.0]","[0.0, 1.0]",23.0,1.15,1.0
bbec94c4-d474-496f-88d6-179c4df5fbaf,False,"[(32, 32), (33, 28)]",47,47,33,32,33,33,32,33,33,33,32,33,61,"[14.0, 9.0]","[0.0, 1.0]",23.0,"[14.1304, 8.4783]","[0.1304, 0.8696]",22.6087,"[14.0, 9.0]","[-0.0, 1.0]",23.0,"[14.0, 9.0]","[0.0, 1.0]",23.0,1.15,1.0
729bb070-acaa-4673-81ae-db79ae7d2963,False,"[(24, 24), (28, 23)]",34,34,28,24,24,24,24,28,24,24,28,24,48,"[10.0, 5.0]","[1.0, 0.0]",15.0,"[8.8235, 5.2941]","[0.7059, 0.2941]",14.1176,"[6.0, 6.0]","[-0.0, 1.0]",12.0,"[10.0, 5.0]","[1.0, 0.0]",15.0,1.25,1.0
729bb070-acaa-4673-81ae-db79ae7d2963,False,"[(24, 24), (23, 28)]",29,29,23,24,24,24,24,23,24,24,23,24,48,"[5.0, 10.0]","[1.0, 0.0]",15.0,"[5.2941, 8.8235]","[0.7059, 0.2941]",14.1176,"[6.0, 6.0]","[-0.0, 1.0]",12.0,"[5.0, 10.0]","[1.0, 0.0]",15.0,1.25,1.0
d6fc4168-ee67-4fbf-8759-2eb8cfc77586,False,"[(20, 25), (28, 23), (24, 24)]",34,34,20,24,20,20,24,24,20,20,28,20,45,"[14.0, 9.0]","[1.0, 0.0, 0.0]",23.0,"[12.069, 9.4828]","[0.7586, 0.2414, 0.0]",21.5518,"[10.0, 10.0]","[0.5, 0.5, 0.0]",20.0,"[14.0, 9.0]","[1.0, 0.0, 0.0]",23.0,1.3529411764705883,1.0
d6fc4168-ee67-4fbf-8759-2eb8cfc77586,False,"[(25, 20), (23, 28), (24, 24)]",34,34,25,24,25,25,24,24,25,25,23,25,45,"[9.0, 14.0]","[1.0, 0.0, 0.0]",23.0,"[9.4828, 12.069]","[0.7586, 0.2414, 0.0]",21.5518,"[10.0, 10.0]","[0.5, 0.5, 0.0]",20.0,"[9.0, 14.0]","[1.0, 0.0, 0.0]",23.0,1.3529411764705883,1.0
62ef843e-0c0f-4a3a-a280-608c552b5120,False,"[(21, 21), (22, 17)]",34,22,22,21,22,22,21,22,22,22,21,22,39,"[12.0003, 11.9988]","[0.0003, 0.9997]",23.9991,"[12.1875, 11.25]","[0.1875, 0.8125]",23.4375,"[12.0, 12.0]","[-0.0, 1.0]",24.0,"[12.0, 12.0]","[0.0, 1.0]",24.0,1.1428571428571428,1.0
62ef843e-0c0f-4a3a-a280-608c552b5120,False,"[(21, 21), (17, 22)]",29,17,17,21,17,17,21,17,17,17,21,17,39,"[11.9988, 12.0003]","[0.0003, 0.9997]",23.9991,"[11.25, 12.1875]","[0.1875, 0.8125]",23.4375,"[12.0, 12.0]","[-0.0, 1.0]",24.0,"[12.0, 12.0]","[0.0, 1.0]",24.0,1.1428571428571428,1.0
d50b1886-794b-4ee6-ba09-546c852ce2b5,False,"[(25, 25), (21, 26)]",37,31,21,25,21,21,25,21,21,21,25,21,47,"[16.0, 16.0]","[0.0, 1.0]",32.0,"[15.2381, 16.1905]","[0.1905, 0.8095]",31.4286,"[16.0, 16.0]","[-0.0, 1.0]",32.0,"[16.0, 16.0]","[0.0, 1.0]",32.0,1.103448275862069,1.0
d50b1886-794b-4ee6-ba09-546c852ce2b5,False,"[(25, 25), (26, 21)]",42,36,26,25,26,26,25,26,26,26,25,26,47,"[16.0, 16.0]","[0.0, 1.0]",32.0,"[16.1905, 15.2381]","[0.1905, 0.8095]",31.4286,"[16.0, 16.0]","[-0.0, 1.0]",32.0,"[16.0, 16.0]","[0.0, 1.0]",32.0,1.103448275862069,1.0
217f82d1-bf42-410f-b922-63ec1ba70ae1,False,"[(20, 15), (18, 18)]",31,31,20,18,20,20,18,20,20,20,18,20,35,"[11.0, 6.0]","[1.0, 0.0]",17.0,"[11.4706, 5.2941]","[0.7647, 0.2353]",16.764699999999998,"[11.0, 6.0]","[1.0, 0.0]",17.0,"[11.0, 6.0]","[1.0, 0.0]",17.0,1.0625,1.0
217f82d1-bf42-410f-b922-63ec1ba70ae1,False,"[(15, 20), (18, 18)]",21,21,15,18,15,15,18,15,15,15,18,15,35,"[6.0, 11.0]","[1.0, 0.0]",17.0,"[5.2941, 11.4706]","[0.7647, 0.2353]",16.764699999999998,"[6.0, 11.0]","[1.0, 0.0]",17.0,"[6.0, 11.0]","[1.0, 0.0]",17.0,1.0625,1.0
68de3550-776d-4147-9682-e06c34998d3c,False,"[(19, 14), (18, 18)]",31,31,19,18,19,19,18,19,19,19,18,19,33,"[12.0, 7.0]","[1.0, 0.0]",19.0,"[12.1186, 6.5254]","[0.8814, 0.1186]",18.644000000000002,"[12.0, 7.0]","[1.0, 0.0]",19.0,"[12.0, 7.0]","[1.0, 0.0]",19.0,1.1875,1.0
68de3550-776d-4147-9682-e06c34998d3c,False,"[(14, 19), (18, 18)]",21,21,14,18,14,14,18,14,14,14,18,14,33,"[7.0, 12.0]","[1.0, 0.0]",19.0,"[6.5254, 12.1186]","[0.8814, 0.1186]",18.644000000000002,"[7.0, 12.0]","[1.0, 0.0]",19.0,"[7.0, 12.0]","[1.0, 0.0]",19.0,1.1875,1.0
aa2293aa-b931-4749-a138-0addbde9d9c1,False,"[(22, 27), (27, 22)]",37,37,22,22,22,22,22,22,22,22,22,22,49,"[12.5, 12.5]","[0.5, 0.5]",25.0,"[12.5, 12.5]","[0.5, 0.5]",25.0,"[12.5, 12.5]","[0.5, 0.5]",25.0,"[10.0, 15.0]","[0.0, 1.0]",25.0,1.0,1.0
aa2293aa-b931-4749-a138-0addbde9d9c1,False,"[(27, 22), (22, 27)]",37,37,27,27,27,27,27,27,27,27,27,27,49,"[12.5, 12.5]","[0.5, 0.5]",25.0,"[12.5, 12.5]","[0.5, 0.5]",25.0,"[12.5, 12.5]","[0.5, 0.5]",25.0,"[15.0, 10.0]","[0.0, 1.0]",25.0,1.0,1.0
267805f9-2a83-4a48-a1ec-04b5fdcd4b6e,False,"[(19, 14), (18, 18)]",31,31,19,18,19,19,18,19,19,19,18,19,33,"[12.0, 7.0]","[1.0, 0.0]",19.0,"[12.1186, 6.5254]","[0.8814, 0.1186]",18.644000000000002,"[12.0, 7.0]","[1.0, 0.0]",19.0,"[12.0, 7.0]","[1.0, 0.0]",19.0,1.1875,1.0
267805f9-2a83-4a48-a1ec-04b5fdcd4b6e,False,"[(14, 19), (18, 18)]",21,21,14,18,14,14,18,14,14,14,18,14,33,"[7.0, 12.0]","[1.0, 0.0]",19.0,"[6.5254, 12.1186]","[0.8814, 0.1186]",18.644000000000002,"[7.0, 12.0]","[1.0, 0.0]",19.0,"[7.0, 12.0]","[1.0, 0.0]",19.0,1.1875,1.0
92b04ef9-975c-49bc-a958-f30d7009d2f6,True,"[(28, 28), (29, 24)]",37,37,29,28,29,29,28,29,29,29,28,29,52,"[8.0, 5.0]","[0.0, 1.0]",13.0,"[8.122, 4.5122]","[0.122, 0.878]",12.6342,"[8.0, 5.0]","[-0.0, 1.0]",13.0,"[8.0, 5.0]","[0.0, 1.0]",13.0,1.4,1.0769230769230769
92b04ef9-975c-49bc-a958-f30d7009d2f6,True,"[(28, 28), (24, 29)]",29,29,24,28,24,24,28,24,24,24,28,24,52,"[5.0, 8.0]","[0.0, 1.0]",13.0,"[4.5122, 8.122]","[0.122, 0.878]",12.6342,"[5.0, 8.0]","[-0.0, 1.0]",13.0,"[5.0, 8.0]","[0.0, 1.0]",13.0,1.4,1.0769230769230769
69ea31e3-0781-43c6-b1a8-e521f80282bf,False,"[(24, 29), (26, 26)]",37,37,24,26,26,26,26,24,26,26,24,26,52,"[11.0001, 15.9998]","[0.0001, 0.9999]",26.9999,"[11.9014, 14.6479]","[0.4507, 0.5493]",26.549300000000002,"[13.0, 13.0]","[1.0, 0.0]",26.0,"[11.0, 16.0]","[0.0, 1.0]",27.0,1.0384615384615385,1.0
69ea31e3-0781-43c6-b1a8-e521f80282bf,False,"[(29, 24), (26, 26)]",42,42,29,26,26,26,26,29,26,26,29,26,52,"[15.9998, 11.0001]","[0.0001, 0.9999]",26.9999,"[14.6479, 11.9014]","[0.4507, 0.5493]",26.549300000000002,"[13.0, 13.0]","[1.0, 0.0]",26.0,"[16.0, 11.0]","[0.0, 1.0]",27.0,1.0384615384615385,1.0
6e527ba3-06c0-4ebd-a237-798d224290e8,False,"[(24, 24), (25, 20)]",34,34,25,24,25,25,24,24,25,25,24,25,45,"[9.0, 14.0]","[0.0, 1.0]",23.0,"[9.2593, 12.963]","[0.2593, 0.7407]",22.222299999999997,"[10.0, 10.0]","[1.0, 0.0]",20.0,"[9.0, 14.0]","[0.0, 1.0]",23.0,1.15,1.0
6e527ba3-06c0-4ebd-a237-798d224290e8,False,"[(24, 24), (20, 25)]",34,34,20,24,20,20,24,24,20,20,24,20,45,"[14.0, 9.0]","[0.0, 1.0]",23.0,"[12.963, 9.2593]","[0.2593, 0.7407]",22.222299999999997,"[10.0, 10.0]","[1.0, 0.0]",20.0,"[14.0, 9.0]","[0.0, 1.0]",23.0,1.15,1.0
f9d9cdb4-c3a6-46db-b947-d37a272088b1,False,"[(30, 30), (26, 31)]",37,37,26,30,26,26,30,26,26,26,30,26,57,"[11.0, 16.0]","[0.0, 1.0]",27.0,"[10.443, 16.1392]","[0.1392, 0.8608]",26.5822,"[11.0, 16.0]","[-0.0, 1.0]",27.0,"[11.0, 16.0]","[0.0, 1.0]",27.0,1.125,1.0
f9d9cdb4-c3a6-46db-b947-d37a272088b1,False,"[(30, 30), (31, 26)]",47,47,31,30,31,31,30,31,31,31,30,31,57,"[16.0, 11.0]","[0.0, 1.0]",27.0,"[16.1392, 10.443]","[0.1392, 0.8608]",26.5822,"[16.0, 11.0]","[-0.0, 1.0]",27.0,"[16.0, 11.0]","[0.0, 1.0]",27.0,1.125,1.0
5aa9d4bc-bb8e-4ca9-b546-bbbc7cbbbee0,True,"[(21, 26), (24, 24), (27, 22)]",34,34,21,24,21,21,24,24,21,21,27,21,47,"[12.4996, 8.3336]","[0.9152, 0.0028, 0.082]",20.833199999999998,"[10.4839, 9.6774]","[0.5806, 0.0, 0.4194]",20.1613,"[10.0, 10.0]","[0.5, 0.0, 0.5]",20.0,"[13.0, 8.0]","[1.0, 0.0, 0.0]",21.0,1.105263157894737,1.0
5aa9d4bc-bb8e-4ca9-b546-bbbc7cbbbee0,True,"[(26, 21), (24, 24), (22, 27)]",34,34,26,24,26,26,24,24,26,26,22,26,47,"[8.3336, 12.4996]","[0.9152, 0.0028, 0.082]",20.833199999999998,"[9.6774, 10.4839]","[0.5806, 0.0, 0.4194]",20.1613,"[10.0, 10.0]","[0.5, 0.0, 0.5]",20.0,"[8.0, 13.0]","[1.0, 0.0, 0.0]",21.0,1.105263157894737,1.0
